C_mask,C_set,E_set,scenario_1_cost,scenario_2_cost,scenario_1_cost_minus_fractional,scenario_2_cost_minus_fractional,scenario_1_budget_slack,scenario_2_budget_slack,simultaneously_feasible,maximum_upper_deviation,witness_arcs,dev_s_v1,dev_v1_v2,dev_v2_v3,dev_v3_v4,dev_v4_v5,dev_s_t1,dev_v3_t1,dev_s_t2,dev_v5_t2,dev_v1_t3,dev_v5_t3,dev_v2_t4,dev_v4_t4
0,empty,1234,3003,3001,2001/500,1002001/1000,-2001/500,-1002001/1000,False,3/8,v1->t3,-63/250,-627/1000,-439/500,-627/1000,-47/125,251/1000,-251/1000,1/1000,-1/1000,3/8,-3/8,251/1000,-251/1000
1,1,234,3002,2001,1501/500,2001/1000,-1501/500,-2001/1000,False,749/1000,v3->t1,187/250,373/1000,61/500,-627/1000,-47/125,-749/1000,749/1000,1/1000,-1/1000,3/8,-3/8,251/1000,-251/1000
2,2,134,3,3000,-1497999/500,1001001/1000,1497999/500,-1001001/1000,False,999/1000,v5->t2,187/250,373/1000,61/500,373/1000,78/125,251/1000,-251/1000,-999/1000,999/1000,3/8,-3/8,251/1000,-251/1000
3,12,34,2,2000,-1498499/500,1001/1000,1498499/500,-1001/1000,False,437/250,s->v1,437/250,1373/1000,561/500,373/1000,78/125,-749/1000,749/1000,-999/1000,999/1000,3/8,-3/8,251/1000,-251/1000
4,3,124,3002,2001,1501/500,2001/1000,-1501/500,-2001/1000,False,3/8,v5->t3,-63/250,123/1000,-16/125,123/1000,187/500,251/1000,-251/1000,1/1000,-1/1000,-3/8,3/8,251/1000,-251/1000
5,13,24,3001,1001,1001/500,-997999/1000,-1001/500,997999/1000,False,1123/1000,v1->v2,187/250,1123/1000,109/125,123/1000,187/500,-749/1000,749/1000,1/1000,-1/1000,-3/8,3/8,251/1000,-251/1000
6,23,14,2,2000,-1498499/500,1001/1000,1498499/500,-1001/1000,False,687/500,v4->v5,187/250,1123/1000,109/125,1123/1000,687/500,251/1000,-251/1000,-999/1000,999/1000,-3/8,3/8,251/1000,-251/1000
7,123,4,1,1000,-1498999/500,-998999/1000,1498999/500,998999/1000,True,2123/1000,v1->v2,437/250,2123/1000,234/125,1123/1000,687/500,-749/1000,749/1000,-999/1000,999/1000,-3/8,3/8,251/1000,-251/1000
8,4,123,3002,2001,1501/500,2001/1000,-1501/500,-2001/1000,False,749/1000,v4->t4,-63/250,-627/1000,61/500,373/1000,-47/125,251/1000,-251/1000,1/1000,-1/1000,3/8,-3/8,-749/1000,749/1000
9,14,23,3001,1001,1001/500,-997999/1000,-1001/500,997999/1000,False,561/500,v2->v3,187/250,373/1000,561/500,373/1000,-47/125,-749/1000,749/1000,1/1000,-1/1000,3/8,-3/8,-749/1000,749/1000
10,24,13,2,2000,-1498499/500,1001/1000,1498499/500,-1001/1000,False,1373/1000,v3->v4,187/250,373/1000,561/500,1373/1000,78/125,251/1000,-251/1000,-999/1000,999/1000,3/8,-3/8,-749/1000,749/1000
11,124,3,1,1000,-1498999/500,-998999/1000,1498999/500,998999/1000,True,1061/500,v2->v3,437/250,1373/1000,1061/500,1373/1000,78/125,-749/1000,749/1000,-999/1000,999/1000,3/8,-3/8,-749/1000,749/1000
12,34,12,3001,1001,1001/500,-997999/1000,-1001/500,997999/1000,False,1123/1000,v3->v4,-63/250,123/1000,109/125,1123/1000,187/500,251/1000,-251/1000,1/1000,-1/1000,-3/8,3/8,-749/1000,749/1000
13,134,2,3000,1,501/500,-1997999/1000,-501/500,1997999/1000,False,234/125,v2->v3,187/250,1123/1000,234/125,1123/1000,187/500,-749/1000,749/1000,1/1000,-1/1000,-3/8,3/8,-749/1000,749/1000
14,234,1,1,1000,-1498999/500,-998999/1000,1498999/500,998999/1000,True,2123/1000,v3->v4,187/250,1123/1000,234/125,2123/1000,687/500,251/1000,-251/1000,-999/1000,999/1000,-3/8,3/8,-749/1000,749/1000
15,1234,empty,0,0,-1499499/500,-1998999/1000,1499499/500,1998999/1000,True,359/125,v2->v3,437/250,2123/1000,359/125,2123/1000,687/500,-749/1000,749/1000,-999/1000,999/1000,-3/8,3/8,-749/1000,749/1000
