choices_t1_t2_t3_t4,cheap_count,cost,cost_feasible,max_overload,witness_arc,load_s_v1,delta_s_v1,load_v1_v2,delta_v1_v2,load_v2_v3,delta_v2_v3,load_v3_v4,delta_v3_v4,load_v4_v5,delta_v4_v5,load_s_t1,delta_s_t1,load_v3_t1,delta_v3_t1,load_s_t2,delta_s_t2,load_v5_t2,delta_v5_t2,load_v1_t3,delta_v1_t3,load_v5_t3,delta_v5_t3,load_v2_t4,delta_v2_t4,load_v4_t4,delta_v4_t4
EEEE,0,42336,False,97,s->t2,546,-175,294,-211,0,-253,0,-175,0,-133,294,78,0,-78,216,97,0,-97,252,36,0,-36,294,42,0,-42
EEEC,1,31752,False,252,v4->t4,546,-175,294,-211,294,41,294,119,0,-133,294,78,0,-78,216,97,0,-97,252,36,0,-36,0,-252,294,252
EECE,1,31752,False,216,v5->t3,546,-175,546,41,252,-1,252,77,252,119,294,78,0,-78,216,97,0,-97,0,-216,252,216,294,42,0,-42
EECC,2,21168,True,371,v3->v4,546,-175,546,41,546,293,546,371,252,119,294,78,0,-78,216,97,0,-97,0,-216,252,216,0,-252,294,252
ECEE,1,31752,False,119,v5->t2,762,41,510,5,216,-37,216,41,216,83,294,78,0,-78,0,-119,216,119,252,36,0,-36,294,42,0,-42
ECEC,2,21168,True,335,v3->v4,762,41,510,5,510,257,510,335,216,83,294,78,0,-78,0,-119,216,119,252,36,0,-36,0,-252,294,252
ECCE,2,21168,True,335,v4->v5,762,41,762,257,468,215,468,293,468,335,294,78,0,-78,0,-119,216,119,0,-216,252,216,294,42,0,-42
ECCC,3,10584,True,587,v3->v4,762,41,762,257,762,509,762,587,468,335,294,78,0,-78,0,-119,216,119,0,-216,252,216,0,-252,294,252
CEEE,1,31752,False,216,v3->t1,840,119,588,83,294,41,0,-175,0,-133,0,-216,294,216,216,97,0,-97,252,36,0,-36,294,42,0,-42
CEEC,2,21168,True,335,v2->v3,840,119,588,83,588,335,294,119,0,-133,0,-216,294,216,216,97,0,-97,252,36,0,-36,0,-252,294,252
CECE,2,21168,True,335,v1->v2,840,119,840,335,546,293,252,77,252,119,0,-216,294,216,216,97,0,-97,0,-216,252,216,294,42,0,-42
CECC,3,10584,True,587,v2->v3,840,119,840,335,840,587,546,371,252,119,0,-216,294,216,216,97,0,-97,0,-216,252,216,0,-252,294,252
CCEE,2,21168,True,335,s->v1,1056,335,804,299,510,257,216,41,216,83,0,-216,294,216,0,-119,216,119,252,36,0,-36,294,42,0,-42
CCEC,3,10584,True,551,v2->v3,1056,335,804,299,804,551,510,335,216,83,0,-216,294,216,0,-119,216,119,252,36,0,-36,0,-252,294,252
CCCE,3,10584,True,551,v1->v2,1056,335,1056,551,762,509,468,293,468,335,0,-216,294,216,0,-119,216,119,0,-216,252,216,294,42,0,-42
CCCC,4,0,True,803,v2->v3,1056,335,1056,551,1056,803,762,587,468,335,0,-216,294,216,0,-119,216,119,0,-216,252,216,0,-252,294,252
